frame,elapsed_seconds,interval_ms,cpu_active_ms,fence_ms,acquire_ms,present_ms,gpu_frame_ms,gpu_shadow_ms,submitted,width,height,action,character_deformation_ms,character_upload_ms,route_decision_ms,actor_physics_ms,character_pose_ms,world_player_doors_ms,character_audio_ms
78,1.336721,16.307000,0.713100,0.009000,15.423500,0.160400,9.431800,1.737840,1,1920,1080,"scripted-0",0.000000,0.000000,0.000600,0.000500,0.000700,0.044400,0.016400
79,1.353028,16.925200,0.508400,0.007300,16.289400,0.119200,9.536800,1.725720,1,1920,1080,"scripted-0",0.000000,0.000000,0.000700,0.000500,0.000300,0.035800,0.011600
80,1.369953,15.948300,0.376900,0.006400,15.492400,0.071700,9.648260,1.786190,1,1920,1080,"scripted-0",0.000000,0.000000,0.000600,0.000800,0.000300,0.051200,0.012200
81,1.385901,16.712900,0.408400,0.004100,16.180300,0.119600,9.355880,1.663800,1,1920,1080,"scripted-0",0.000000,0.000000,0.000300,0.000100,0.000100,0.019300,0.007100
82,1.402614,17.210100,0.349600,0.007900,16.786900,0.065100,9.510480,1.757640,1,1920,1080,"scripted-0",0.000000,0.000000,0.000600,0.000500,0.000400,0.031900,0.014100
83,1.419824,16.618400,0.575500,0.007500,15.957400,0.077100,9.423840,1.662360,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000400,0.000200,0.019700,0.006400
84,1.436442,17.003100,0.567700,0.010300,16.361400,0.063300,9.448560,1.730240,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000100,0.000100,0.019200,0.007600
85,1.453445,16.299400,0.529900,0.006200,15.644400,0.118400,9.393600,1.666880,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000300,0.000200,0.019300,0.006100
86,1.469745,16.689400,0.758300,0.010400,15.836600,0.083600,9.430960,1.741360,1,1920,1080,"scripted-0",0.000000,0.000000,0.000300,0.000900,0.000200,0.036600,0.012800
87,1.486434,16.867900,0.781900,0.007800,15.900100,0.177400,9.415840,1.720240,1,1920,1080,"scripted-0",0.000000,0.000000,0.000300,0.000200,0.000300,0.040500,0.011600
88,1.503303,16.165000,0.481800,0.007100,15.610400,0.063800,9.459360,1.744640,1,1920,1080,"scripted-0",0.000000,0.000000,0.000600,0.000300,0.000200,0.062900,0.009400
89,1.519468,16.911100,0.649900,0.009200,16.185500,0.065400,9.368760,1.661120,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000200,0.000200,0.020200,0.006200
90,1.536378,16.773900,0.732800,0.009000,15.856200,0.175500,9.558920,1.830000,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000300,0.000200,0.019100,0.008200
91,1.553153,16.468600,0.714800,0.010000,15.671500,0.070500,9.355280,1.665080,1,1920,1080,"scripted-0",0.000000,0.000000,0.001500,0.000500,0.000900,0.093800,0.027100
92,1.569621,16.854900,0.616500,0.006600,16.099500,0.131900,9.495840,1.760960,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000200,0.000100,0.020400,0.006300
93,1.586476,15.929400,0.351200,0.005500,15.508900,0.063300,9.611640,1.915080,1,1920,1080,"scripted-0",0.000000,0.000000,0.000600,0.000700,0.000200,0.030800,0.012400
94,1.602405,17.641500,0.632400,0.007300,16.650500,0.350900,9.491600,1.747480,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000400,0.000100,0.020200,0.005700
95,1.620047,16.501000,0.718900,0.011400,15.703800,0.066200,9.348960,1.663000,1,1920,1080,"scripted-0",0.000000,0.000000,0.000400,0.000500,0.000200,0.041700,0.019300
96,1.636547,16.152400,0.450300,0.006700,15.563200,0.131800,9.468200,1.754560,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000300,0.000100,0.021600,0.005900
97,1.652700,16.955900,0.708700,0.006700,16.129500,0.110300,9.371480,1.644040,1,1920,1080,"scripted-0",0.000000,0.000000,0.000600,0.000800,0.000300,0.053700,0.012100
98,1.669656,17.056800,0.671700,0.009300,16.269100,0.106200,9.533160,1.745760,1,1920,1080,"scripted-0",0.000000,0.000000,0.000300,0.000400,0.000100,0.019000,0.007500
99,1.686713,15.668500,0.329300,0.005600,15.260300,0.072900,9.590000,1.744480,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000200,0.000300,0.019200,0.007800
100,1.702381,17.098900,0.579900,0.007800,16.366000,0.144700,9.549760,1.777640,1,1920,1080,"scripted-0",0.000000,0.000000,0.000400,0.000100,0.000200,0.025700,0.008700
101,1.719480,16.516500,0.386500,0.006900,16.045900,0.076700,9.465920,1.699000,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000800,0.000400,0.035900,0.016900
102,1.735996,17.346000,0.714700,0.011500,16.462500,0.156800,9.468800,1.750200,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000600,0.000200,0.022900,0.009800
103,1.753343,16.503600,0.760000,0.009600,15.585400,0.147800,9.341280,1.663560,1,1920,1080,"scripted-0",0.000000,0.000000,0.000600,0.000400,0.000400,0.039700,0.015300
104,1.769846,16.814000,0.773800,0.008900,15.859800,0.171000,9.517280,1.805320,1,1920,1080,"scripted-0",0.000000,0.000000,0.000300,0.000600,0.000200,0.033900,0.008400
105,1.786661,16.439400,0.710100,0.010800,15.645800,0.071000,9.365400,1.654360,1,1920,1080,"scripted-0",0.000000,0.000000,0.000800,0.002200,0.001600,0.088000,0.024100
106,1.803099,16.682600,0.721600,0.007300,15.785800,0.167500,9.540720,1.815040,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000300,0.000200,0.019500,0.006700
107,1.819783,17.542900,0.636000,0.012600,16.744400,0.148800,9.736400,1.811960,1,1920,1080,"scripted-0",0.000000,0.000000,0.002200,0.001000,0.000700,0.084100,0.019600
108,1.837326,15.149000,0.371100,0.007900,14.697600,0.071200,9.714440,1.982960,1,1920,1080,"scripted-0",0.000000,0.000000,0.000900,0.000700,0.000300,0.046700,0.019100
109,1.852474,16.944300,0.594700,0.006200,16.191700,0.151300,9.433920,1.682800,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000300,0.000200,0.019300,0.006500
110,1.869419,17.157800,0.369500,0.006700,16.717300,0.063500,9.448120,1.742600,1,1920,1080,"scripted-0",0.000000,0.000000,0.000600,0.000400,0.000200,0.034300,0.020800
111,1.886576,16.219100,0.551100,0.006400,15.550200,0.111000,9.345880,1.663040,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000700,0.000200,0.019300,0.006000
112,1.902796,17.512600,0.766300,0.011200,16.637600,0.096600,9.417680,1.715920,1,1920,1080,"scripted-0",0.000000,0.000000,0.000300,0.000400,0.000100,0.038200,0.011400
113,1.920308,16.056400,0.519300,0.008100,15.457500,0.071100,9.373840,1.641800,1,1920,1080,"scripted-0",0.000000,0.000000,0.000600,0.000200,0.000100,0.021000,0.006100
114,1.936364,16.753100,0.712700,0.007800,15.880800,0.151200,9.488840,1.765440,1,1920,1080,"scripted-0",0.000000,0.000000,0.000300,0.000300,0.000200,0.019100,0.007300
115,1.953117,16.535500,0.357300,0.004600,16.111300,0.061700,9.404680,1.659320,1,1920,1080,"scripted-0",0.000000,0.000000,0.000500,0.000400,0.000200,0.037100,0.009800
116,1.969653,16.867100,0.455900,0.007300,16.333100,0.070400,9.486880,1.751320,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000300,0.000100,0.019400,0.005500
117,1.986520,16.265200,0.543700,0.006100,15.575700,0.139300,9.359680,1.668800,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000100,0.000200,0.019700,0.006400
118,2.002785,16.639600,0.541100,0.009900,16.022000,0.066200,9.522040,1.763920,1,1920,1080,"scripted-0",0.000000,0.000000,0.000900,0.000700,0.000400,0.030400,0.016100
119,2.019425,16.671000,0.534800,0.007000,15.993300,0.135400,9.520280,1.673960,1,1920,1080,"scripted-0",0.000000,0.000000,0.000300,0.000300,0.000100,0.021400,0.006400
120,2.036096,16.680600,0.658800,0.008300,15.847800,0.165100,9.471760,1.744800,1,1920,1080,"scripted-0",0.000000,0.000000,0.000400,0.000700,0.000200,0.032600,0.014200
121,2.052776,16.863700,0.405800,0.013600,16.364800,0.078900,9.408920,1.684920,1,1920,1080,"scripted-0",0.000000,0.000000,0.000600,0.000500,0.000300,0.039000,0.020000
122,2.069640,16.469400,0.531100,0.006100,15.815200,0.116400,9.532320,1.776320,1,1920,1080,"scripted-0",0.000000,0.000000,0.000100,0.000500,0.000200,0.021100,0.007400
123,2.086110,17.190000,0.604000,0.009300,16.010200,0.565700,9.480120,1.704600,1,1920,1080,"scripted-0",0.000000,0.000000,0.000500,0.000800,0.000200,0.037800,0.011800
124,2.103300,15.834500,0.388000,0.010800,15.351800,0.083100,9.500040,1.773560,1,1920,1080,"scripted-0",0.000000,0.000000,0.000600,0.001100,0.000400,0.044400,0.018500
125,2.119134,16.613300,0.425900,0.004800,16.055600,0.126500,9.653680,1.715000,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000400,0.000200,0.020800,0.006800
126,2.135747,16.742800,0.373800,0.006300,16.272200,0.089700,9.459920,1.752920,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.001300,0.000200,0.039600,0.012100
127,2.152490,17.080500,0.918300,0.010200,15.966300,0.185300,9.377600,1.661520,1,1920,1080,"scripted-0",0.000000,0.000000,0.000300,0.000700,0.000100,0.032300,0.013600
128,2.169571,16.659600,0.622300,0.006900,15.910500,0.119200,9.436720,1.721880,1,1920,1080,"scripted-0",0.000000,0.000000,0.000500,0.000200,0.000200,0.029500,0.014900
129,2.186230,16.732600,0.592900,0.008000,16.065100,0.066000,9.369800,1.666800,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000400,0.000200,0.027000,0.014200
130,2.202963,16.968500,0.537400,0.009800,16.358600,0.062300,9.452920,1.732480,1,1920,1080,"scripted-0",0.000000,0.000000,0.000100,0.000700,0.000100,0.019000,0.006200
131,2.219931,16.487600,0.740000,0.007200,15.568600,0.171300,9.504480,1.810320,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000300,0.000200,0.019000,0.006300
132,2.236420,16.079200,0.463200,0.007300,15.539700,0.067500,9.537360,1.811960,1,1920,1080,"scripted-0",0.000000,0.000000,0.001400,0.001100,0.000600,0.083100,0.022800
133,2.252498,17.558400,0.549300,0.009900,16.932200,0.066600,9.526520,1.689800,1,1920,1080,"scripted-0",0.000000,0.000000,0.000100,0.000900,0.000100,0.018700,0.006100
134,2.270056,16.083500,0.414100,0.007800,15.589200,0.071800,9.493920,1.769240,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000300,0.000100,0.019600,0.005900
135,2.286140,17.504300,0.432300,0.006300,16.973700,0.091600,9.412240,1.671160,1,1920,1080,"scripted-0",0.000000,0.000000,0.000300,0.000200,0.000100,0.019300,0.006500
136,2.303644,15.272100,0.317000,0.004800,14.882500,0.067400,9.493560,1.746080,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000400,0.000200,0.021200,0.008500
137,2.318916,17.788800,0.668900,0.007600,16.947800,0.164100,9.376480,1.653560,1,1920,1080,"scripted-0",0.000000,0.000000,0.000100,0.000700,0.000300,0.020300,0.008500
138,2.336706,15.517400,0.470400,0.007900,14.966000,0.071900,9.484560,1.741880,1,1920,1080,"scripted-0",0.000000,0.000000,0.000300,0.000500,0.000200,0.046200,0.016200
139,2.352222,17.115200,0.589400,0.007300,16.403200,0.114800,9.359720,1.671560,1,1920,1080,"scripted-0",0.000000,0.000000,0.000300,0.000100,0.000100,0.019600,0.006400
140,2.369338,17.235100,0.703100,0.009100,16.365400,0.157000,9.512760,1.766120,1,1920,1080,"scripted-0",0.000000,0.000000,0.000500,0.000400,0.000200,0.033900,0.013500
141,2.386573,16.240500,0.621000,0.009500,15.482900,0.126200,9.359040,1.659880,1,1920,1080,"scripted-0",0.000000,0.000000,0.000900,0.000400,0.000300,0.046300,0.015600
142,2.402814,17.033000,0.775200,0.008400,16.077300,0.170800,9.556320,1.830200,1,1920,1080,"scripted-0",0.000000,0.000000,0.000400,0.000800,0.000300,0.039100,0.013900
143,2.419848,16.546900,0.684900,0.010700,15.782700,0.066500,9.425120,1.656000,1,1920,1080,"scripted-0",0.000000,0.000000,0.001000,0.001100,0.000300,0.087100,0.026200
144,2.436393,16.520700,0.674000,0.007500,15.666700,0.172100,9.493800,1.742480,1,1920,1080,"scripted-0",0.000000,0.000000,0.000100,0.000400,0.000100,0.019100,0.006200
145,2.452915,16.939700,0.451800,0.011300,16.393900,0.081400,9.493720,1.758920,1,1920,1080,"scripted-0",0.000000,0.000000,0.000600,0.000800,0.000400,0.046800,0.016700
