clip,time_s,phase,foot_l_x_m,foot_l_y_m,foot_l_z_m,ball_l_x_m,ball_l_y_m,ball_l_z_m,foot_r_x_m,foot_r_y_m,foot_r_z_m,ball_r_x_m,ball_r_y_m,ball_r_z_m,hand_l_x_m,hand_l_y_m,hand_l_z_m,hand_r_x_m,hand_r_y_m,hand_r_z_m
walk,0.312500009,0.234375000,0.089108990,0.106147132,-0.037520168,0.088987112,0.015022010,0.109889019,-0.088972335,0.340901757,-0.185438994,-0.088973290,0.182207124,-0.255075821,0.330758229,0.937224425,-0.007544993,-0.261942735,0.947998382,0.065523122
walk,0.316666676,0.237500000,0.089132105,0.106586436,-0.041324128,0.088989723,0.015018609,0.105810442,-0.088969961,0.341529208,-0.177253549,-0.088971424,0.183029679,-0.247333296,0.331759947,0.938432941,-0.004298593,-0.261305602,0.948011293,0.061835010
walk,0.320833343,0.240625000,0.089159834,0.107059416,-0.045132617,0.088998532,0.015049526,0.101725890,-0.088971586,0.342283917,-0.169097496,-0.088973372,0.183980813,-0.239619806,0.332736766,0.939653505,-0.001050080,-0.260630125,0.948034172,0.058146528
walk,0.325000010,0.243750000,0.089192191,0.107566110,-0.048945312,0.089013556,0.015114805,0.097635687,-0.088977283,0.343165113,-0.160972932,-0.088979043,0.185059754,-0.231937443,0.333688655,0.940886047,0.002200301,-0.259916291,0.948067142,0.054458116
walk,0.329166676,0.246875000,0.089229188,0.108106550,-0.052761889,0.089034809,0.015214486,0.093540161,-0.088987120,0.344171986,-0.152881935,-0.088988339,0.186265692,-0.224288279,0.334615581,0.942130498,0.005452308,-0.259164095,0.948110328,0.050770217
walk,0.333333343,0.250000000,0.089270837,0.108680768,-0.056582026,0.089062303,0.015348606,0.089439635,-0.089001157,0.345303693,-0.144826568,-0.089001156,0.187597783,-0.216674373,0.335517516,0.943386787,0.008705698,-0.258373535,0.948163851,0.047083273
walk,0.337500010,0.253125000,0.089300650,0.109287143,-0.060222380,0.089053137,0.015293582,0.085374363,-0.088973317,0.344210800,-0.136591145,-0.088967029,0.185803809,-0.206879743,0.336409162,0.944448659,0.012143754,-0.257831113,0.948063906,0.043779710
walk,0.341666677,0.256250000,0.089334670,0.109913962,-0.063864508,0.089049131,0.015260717,0.081304171,-0.088953490,0.343236954,-0.128342762,-0.088942647,0.184144373,-0.197065489,0.337274020,0.945525080,0.015583358,-0.257256075,0.947969874,0.040475714
walk,0.345833344,0.259375000,0.089372903,0.110561230,-0.067508163,0.089050300,0.015250052,0.077229325,-0.088941861,0.342382236,-0.120083157,-0.088928227,0.182619618,-0.187233502,0.338112052,0.946615975,0.019024232,-0.256648402,0.947881852,0.037171620
walk,0.350000010,0.262500000,0.089415357,0.111228953,-0.071153096,0.089056656,0.015261625,0.073150091,-0.088938614,0.341646702,-0.111814068,-0.088923986,0.181229659,-0.177385676,0.338923226,0.947721266,0.022466097,-0.256008077,0.947799936,0.033867764
walk,0.354166677,0.265625000,0.089462039,0.111917132,-0.074799060,0.089068210,0.015295472,0.069066737,-0.088943928,0.341030383,-0.103537233,-0.088930135,0.179974584,-0.167523903,0.339707509,0.948840873,0.025908674,-0.255335091,0.947724225,0.030564480
